Manufacturer,Model,Prod. year,Mileage,Category,Leather interior,Fuel type,Engine volume,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Price,isTurbo
NISSAN,Juke,2015.0,88475.0,Jeep,Yes,Petrol,1.6,4.0,Automatic,4x4,Left wheel,White,0.0,3763.0,No
BMW,535,2012.0,124000.0,Sedan,Yes,Petrol,3.0,6.0,Tiptronic,4x4,Left wheel,White,16.0,34497.0,Yes
TOYOTA,Camry,2013.0,102000.0,Sedan,Yes,Petrol,2.5,4.0,Tiptronic,Front,Left wheel,Blue,10.0,20385.0,No
MITSUBISHI,Colt,2004.0,180000.0,Hatchback,No,Petrol,1.2,4.0,Variator,Front,Right-hand drive,Silver,8.0,7213.0,No
HYUNDAI,Santa FE,2017.0,88000.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Grey,4.0,56845.0,No
HYUNDAI,Elantra,2016.0,52000.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Black,0.0,22580.0,No
LEXUS,CT 200h,2016.0,71904.0,Hatchback,Yes,Hybrid,1.8,4.0,Automatic,Front,Left wheel,White,0.0,6743.0,No
HONDA,Civic,2012.0,146403.0,Sedan,Yes,Hybrid,1.5,4.0,Automatic,Front,Left wheel,White,0.0,2901.0,No
TOYOTA,Camry,2015.0,151610.0,Sedan,Yes,Petrol,2.5,4.0,Automatic,Front,Left wheel,White,12.0,7527.0,No
HONDA,FIT,2016.0,16714.0,Universal,Yes,Petrol,1.3,4.0,Automatic,Front,Left wheel,Black,4.0,30602.0,No
TOYOTA,Camry,2013.0,124912.0,Sedan,Yes,Hybrid,2.5,4.0,Automatic,Front,Left wheel,White,12.0,3763.0,No
SSANGYONG,Actyon,2016.0,56150.0,Jeep,Yes,Diesel,1.6,4.0,Automatic,Front,Left wheel,Red,4.0,44134.0,No
HYUNDAI,Tucson,2015.0,161388.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,White,4.0,27827.0,No
BMW,X5,2004.0,300000.0,Jeep,Yes,Petrol,3.0,6.0,Tiptronic,4x4,Left wheel,Silver,10.0,16000.0,No
HYUNDAI,Santa FE,2014.0,170623.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,White,4.0,35237.0,No
HYUNDAI,Sonata,2017.0,345316.0,Sedan,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,Orange,4.0,11604.0,No
HYUNDAI,Elantra,2018.0,54865.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Grey,4.0,32929.0,No
HYUNDAI,Tucson,2011.0,129000.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Grey,4.0,19657.0,No
HYUNDAI,Genesis,2010.0,170340.0,Coupe,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,16954.0,No
FORD,Explorer,2018.0,14263.0,Jeep,Yes,Petrol,2.3,4.0,Automatic,Front,Left wheel,White,4.0,118519.0,No
TOYOTA,Camry,2014.0,398069.0,Sedan,Yes,Hybrid,2.5,4.0,Automatic,Front,Left wheel,Black,12.0,1098.0,No
SSANGYONG,Actyon,2011.0,189855.0,Sedan,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,16333.0,No
HYUNDAI,H1,2016.0,41000.0,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,White,4.0,41654.0,No
HYUNDAI,H1,2010.0,82111.0,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,White,4.0,19441.0,No
MERCEDES-BENZ,E 350,2011.0,273186.0,Sedan,Yes,Diesel,3.0,6.0,Automatic,Rear,Left wheel,White,12.0,9879.0,No
MERCEDES-BENZ,E 350,2013.0,140800.0,Sedan,Yes,Petrol,3.5,6.0,Automatic,4x4,Left wheel,Black,0.0,15681.0,Yes
TOYOTA,Prius,2009.0,99000.0,Hatchback,No,Hybrid,1.5,4.0,Automatic,Front,Left wheel,Green,8.0,11290.0,No
TOYOTA,Camry,2008.0,171200.0,Sedan,Yes,Hybrid,2.4,4.0,Automatic,Front,Left wheel,Beige,12.0,11800.0,No
FORD,Transit,1995.0,111111.0,Microbus,No,Diesel,2.5,4.0,Manual,Rear,Left wheel,Yellow,2.0,7527.0,No
AUDI,A7,2013.0,301707.0,Hatchback,Yes,Petrol,3.0,6.0,Automatic,4x4,Left wheel,Grey,0.0,4704.0,No
TOYOTA,Camry,2014.0,398069.0,Sedan,Yes,Hybrid,2.5,4.0,Automatic,Front,Left wheel,Black,12.0,1098.0,No
TOYOTA,CHR,2018.0,22816.0,Jeep,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Grey,12.0,2195.0,No
HYUNDAI,Genesis,2010.0,158663.0,Coupe,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Grey,4.0,16280.0,No
HYUNDAI,H1,2016.0,40877.0,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Grey,4.0,30326.0,No
MERCEDES-BENZ,E 280,1998.0,3200.0,Sedan,Yes,CNG,2.8,6.0,Automatic,4x4,Left wheel,Black,6.0,7840.0,No
MERCEDES-BENZ,E 350,2011.0,248525.0,Sedan,Yes,Petrol,3.5,6.0,Automatic,4x4,Left wheel,Grey,12.0,11447.0,No
CHEVROLET,Cruze,2012.0,163000.0,Sedan,No,Petrol,1.4,4.0,Tiptronic,Front,Left wheel,Black,8.0,16308.0,Yes
MERCEDES-BENZ,E 350,2008.0,175614.0,Sedan,Yes,Diesel,3.0,6.0,Automatic,Rear,Left wheel,Black,12.0,2430.0,No
HYUNDAI,Santa FE,2018.0,47692.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,53188.0,No
CHEVROLET,Malibu,2013.0,106048.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,24283.0,No
HONDA,FIT,2002.0,161000.0,Hatchback,No,Petrol,1.3,4.0,Automatic,Front,Right-hand drive,Red,4.0,6272.0,No
BMW,318,2000.0,0.0,Sedan,No,CNG,1.9,4.0,Manual,Rear,Left wheel,Silver,8.0,7840.0,No
MERCEDES-BENZ,ML 350,2012.0,271701.0,Jeep,Yes,Diesel,3.0,6.0,Automatic,4x4,Left wheel,White,12.0,26657.0,No
KIA,Cadenza,2011.0,68105.0,Sedan,Yes,Petrol,2.7,6.0,Automatic,Front,Left wheel,Silver,4.0,10036.0,No
AUDI,A6,2011.0,0.0,Sedan,Yes,Petrol,3.0,6.0,Automatic,4x4,Left wheel,Silver,12.0,1098.0,No
VOLKSWAGEN,Jetta,2007.0,198245.0,Sedan,Yes,Petrol,2.5,5.0,Automatic,Front,Left wheel,Black,10.0,9722.0,No
DODGE,Durango,2003.0,240000.0,Jeep,No,CNG,4.7,8.0,Automatic,4x4,Left wheel,Brown,6.0,7840.0,No
TOYOTA,Prius V,2012.0,197000.0,Universal,Yes,Hybrid,1.8,4.0,Variator,Front,Left wheel,Beige,8.0,21326.0,No
MERCEDES-BENZ,Vito,2013.0,167000.0,Minivan,No,Diesel,2.2,4.0,Manual,Rear,Left wheel,White,2.0,23521.0,Yes
HYUNDAI,H1,2011.0,237853.0,Universal,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Silver,4.0,17054.0,No
HYUNDAI,Sonata,2016.0,71218.0,Sedan,Yes,Hybrid,2.0,4.0,Automatic,Front,Left wheel,Black,0.0,5018.0,No
NISSAN,Juke,2016.0,181997.0,Jeep,Yes,Petrol,1.6,4.0,Automatic,4x4,Left wheel,Black,0.0,2117.0,No
BMW,330,2001.0,330000.0,Coupe,Yes,Petrol,3.0,6.0,Manual,Rear,Left wheel,Blue,4.0,10036.0,No
HYUNDAI,Sonata,2012.0,36545.0,Sedan,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,White,4.0,8311.0,No
TOYOTA,Prius,2016.0,85000.0,Hatchback,No,Hybrid,1.6,4.0,Automatic,Front,Left wheel,White,12.0,32929.0,No
KIA,Optima,2013.0,52448.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,8320.0,No
FORD,Fusion,2010.0,180973.0,Sedan,Yes,Hybrid,2.5,4.0,Automatic,Front,Left wheel,Blue,0.0,12544.0,No
TOYOTA,Aqua,2018.0,9942.0,Universal,Yes,Hybrid,1.5,4.0,Automatic,Front,Left wheel,Grey,4.0,45825.0,No
HYUNDAI,Sonata,2016.0,60000.0,Sedan,No,Petrol,2.4,6.0,Tiptronic,Front,Left wheel,Black,8.0,21169.0,No
HYUNDAI,IX35,2011.0,118023.0,Jeep,No,Petrol,2.0,4.0,Tiptronic,4x4,Left wheel,Silver,12.0,31047.0,No
TOYOTA,RAV 4,2001.0,250000.0,Jeep,No,Petrol,2.0,4.0,Manual,Front,Left wheel,Green,8.0,4077.0,No
HYUNDAI,Elantra,2014.0,155360.0,Sedan,No,Petrol,1.8,4.0,Tiptronic,Front,Left wheel,Grey,6.0,17876.0,No
TOYOTA,Avalon,2015.0,122418.0,Sedan,Yes,Petrol,3.5,6.0,Automatic,Front,Left wheel,Blue,12.0,6899.0,No
TOYOTA,Highlander,2016.0,0.0,Jeep,Yes,Petrol,3.5,6.0,Automatic,Front,Left wheel,Silver,12.0,16935.0,No
BMW,X5,2014.0,110715.0,Jeep,Yes,Diesel,3.0,6.0,Automatic,4x4,Left wheel,White,0.0,16621.0,No
VOLKSWAGEN,Passat,2016.0,80000.0,Sedan,Yes,Petrol,1.8,4.0,Tiptronic,Front,Left wheel,White,14.0,29793.0,Yes
BMW,318,2001.0,159344.0,Sedan,No,Petrol,1.9,4.0,Tiptronic,Rear,Right-hand drive,Silver,6.0,8781.0,No
VOLKSWAGEN,Jetta TDI,2012.0,8100.0,Sedan,Yes,Diesel,1.9,4.0,Tiptronic,Front,Left wheel,Silver,0.0,18189.0,Yes
HONDA,FIT,2015.0,131455.0,Hatchback,Yes,Petrol,1.5,4.0,Automatic,Front,Left wheel,Blue,4.0,16960.0,No
HYUNDAI,Elantra,2014.0,83147.0,Sedan,Yes,Diesel,1.6,4.0,Automatic,Front,Left wheel,White,4.0,28830.0,No
HYUNDAI,Elantra,2014.0,110685.0,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,Left wheel,White,12.0,3763.0,No
OPEL,Zafira,2003.0,201600.0,Minivan,No,Petrol,1.8,4.0,Manual,Front,Left wheel,Silver,8.0,11917.0,No
FORD,Transit,1996.0,270000.0,Microbus,No,Diesel,2.5,4.0,Manual,Rear,Left wheel,Sky blue,2.0,9722.0,No
TOYOTA,Highlander,2010.0,225600.0,Jeep,Yes,Petrol,3.5,6.0,Tiptronic,Front,Left wheel,Silver,6.0,40769.0,No
FORD,Fusion,2013.0,129600.0,Sedan,Yes,Petrol,1.6,4.0,Tiptronic,Front,Left wheel,Carnelian red,12.0,20385.0,No
HYUNDAI,H1,2012.0,59304.0,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Silver,4.0,14301.0,No
HYUNDAI,Sonata,2014.0,244266.0,Sedan,Yes,Petrol,2.4,4.0,Automatic,Front,Left wheel,Blue,12.0,2587.0,No
KIA,Optima,2013.0,71234.0,Sedan,Yes,Petrol,2.4,4.0,Tiptronic,Front,Left wheel,Black,12.0,19400.0,No
HYUNDAI,H1,2014.0,151854.0,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Grey,4.0,30517.0,No
HYUNDAI,Tucson,2011.0,192085.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Grey,4.0,18647.0,No
OPEL,Astra,1996.0,1111.0,Sedan,No,CNG,1.6,4.0,Manual,Front,Left wheel,Black,4.0,3000.0,No
TOYOTA,RAV 4,2016.0,41019.0,Jeep,Yes,Petrol,2.5,4.0,Automatic,4x4,Left wheel,Silver,12.0,14897.0,No
HYUNDAI,Elantra,2017.0,89000.0,Sedan,No,Petrol,2.0,4.0,Automatic,Front,Left wheel,Blue,6.0,20385.0,No
HYUNDAI,Tucson,2017.0,169031.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,37125.0,No
HYUNDAI,Elantra,2011.0,124892.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,White,4.0,19384.0,No
SSANGYONG,REXTON,2009.0,163240.0,Jeep,Yes,Diesel,2.7,4.0,Automatic,Front,Left wheel,Silver,4.0,20532.0,No
MERCEDES-BENZ,GLE 350,2016.0,117368.0,Jeep,Yes,Petrol,3.5,6.0,Automatic,4x4,Left wheel,Black,0.0,68994.0,No
HYUNDAI,I30,2012.0,156000.0,Pickup,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,White,8.0,14740.0,No
HYUNDAI,Sonata,2016.0,301827.0,Sedan,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,15530.0,No
BMW,X6,2010.0,171000.0,Jeep,Yes,Petrol,3.0,6.0,Tiptronic,4x4,Left wheel,Black,16.0,42337.0,Yes
KIA,Optima,2012.0,11111.0,Sedan,Yes,Hybrid,2.4,2.0,Automatic,Front,Left wheel,Grey,6.0,20000.0,No
VOLKSWAGEN,Vento,1996.0,203658.0,Sedan,No,Petrol,2.0,4.0,Manual,Front,Left wheel,Black,2.0,3000.0,No
HYUNDAI,H1,2008.0,93042.0,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Yellow,4.0,25089.0,No
OPEL,Vectra,1998.0,3500.0,Sedan,No,Petrol,1.6,4.0,Manual,Front,Left wheel,Blue,6.0,5645.0,No
BMW,318,1995.0,0.0,Hatchback,No,Petrol,2.0,6.0,Manual,Rear,Left wheel,Black,0.0,2509.0,No
HONDA,Civic,2015.0,24696.0,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,Left wheel,Red,4.0,46866.0,No
HYUNDAI,Sonata,2016.0,153616.0,Sedan,Yes,LPG,3.0,4.0,Automatic,Front,Left wheel,Silver,4.0,26262.0,No
MERCEDES-BENZ,ML 350,2015.0,79080.0,Jeep,Yes,Diesel,3.5,6.0,Automatic,4x4,Left wheel,Grey,12.0,22894.0,No
VOLKSWAGEN,Passat,2012.0,85000.0,Sedan,Yes,Petrol,2.5,4.0,Tiptronic,Front,Left wheel,White,12.0,18503.0,No
FORD,Focus,2017.0,48000.0,Sedan,No,Petrol,2.0,4.0,Automatic,Front,Left wheel,Red,12.0,16308.0,No
BMW,X5,2015.0,201056.0,Jeep,Yes,Diesel,3.0,6.0,Automatic,4x4,Left wheel,Black,0.0,3607.0,No
HONDA,Civic,2008.0,162123.0,Sedan,No,Hybrid,1.3,4.0,Automatic,Front,Left wheel,Silver,8.0,5372.0,No
OPEL,Astra,2004.0,191576.0,Hatchback,No,Petrol,1.6,4.0,Manual,Front,Left wheel,Black,6.0,10036.0,No
MERCEDES-BENZ,C 180,1999.0,0.0,Sedan,No,CNG,1.8,4.0,Tiptronic,Rear,Right-hand drive,Blue,2.0,5331.0,No
LEXUS,GX 460,2010.0,260771.0,Jeep,Yes,Petrol,4.6,8.0,Automatic,4x4,Left wheel,Black,0.0,46728.0,No
BMW,X5,2005.0,196000.0,Jeep,Yes,Petrol,3.0,6.0,Tiptronic,4x4,Left wheel,Brown,8.0,17249.0,No
DAEWOO,Lacetti,2009.0,164804.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Grey,4.0,8097.0,No
BMW,535,2012.0,164800.0,Sedan,Yes,Petrol,3.0,6.0,Tiptronic,Rear,Left wheel,White,12.0,32929.0,Yes
TOYOTA,Camry,2013.0,122080.0,Sedan,No,Hybrid,2.5,4.0,Tiptronic,Rear,Left wheel,Black,8.0,25089.0,No
KIA,Optima,2012.0,345673.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,6743.0,No
TOYOTA,Aqua,2012.0,122000.0,Hatchback,Yes,Hybrid,1.5,4.0,Variator,Front,Right-hand drive,Red,2.0,10663.0,No
FORD,C-MAX,2014.0,44000.0,Hatchback,No,Hybrid,2.0,4.0,Variator,Front,Left wheel,Silver,8.0,18817.0,No
HYUNDAI,Elantra GT,2012.0,182400.0,Sedan,Yes,Petrol,1.8,4.0,Manual,Front,Left wheel,Grey,8.0,16621.0,No
CHEVROLET,Captiva,2007.0,67435.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,6241.0,No
DODGE,Caravan,2012.0,160000.0,Minivan,No,Petrol,3.6,6.0,Tiptronic,Front,Left wheel,Black,4.0,21012.0,No
SUBARU,XV,2014.0,180000.0,Jeep,No,Petrol,2.0,4.0,Tiptronic,4x4,Left wheel,Orange,12.0,19757.0,No
HYUNDAI,Elantra,2013.0,48088.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Grey,4.0,25591.0,No
DAIHATSU,Terios,1998.0,1000.0,Jeep,No,Petrol,1.3,4.0,Manual,4x4,Left wheel,Purple,0.0,6272.0,No
HYUNDAI,Tucson,2011.0,184067.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Grey,4.0,22357.0,No
HONDA,FIT,2017.0,110050.0,Hatchback,Yes,Hybrid,1.5,4.0,Automatic,Front,Left wheel,White,4.0,16750.0,No
MITSUBISHI,Colt,2003.0,245000.0,Hatchback,No,Petrol,1.3,4.0,Variator,Front,Right-hand drive,Silver,2.0,5018.0,No
VOLKSWAGEN,Jetta,2012.0,65000.0,Sedan,No,Petrol,2.0,4.0,Automatic,Front,Left wheel,Grey,0.0,13485.0,No
HYUNDAI,Sonata,2013.0,216208.0,Sedan,Yes,Hybrid,2.4,4.0,Automatic,Front,Left wheel,Blue,0.0,1176.0,No
TOYOTA,Vitz,2001.0,190500.0,Sedan,No,Petrol,1.3,4.0,Automatic,Front,Left wheel,Pink,4.0,6899.0,No
HYUNDAI,Tucson,2017.0,17000.0,Jeep,No,Petrol,1.6,4.0,Tiptronic,4x4,Left wheel,Black,10.0,45473.0,Yes
VAZ,2107,1988.0,150000.0,Sedan,No,Petrol,1.5,4.0,Manual,Rear,Left wheel,Blue,0.0,2195.0,No
HYUNDAI,Elantra,2014.0,138598.0,Sedan,Yes,Diesel,1.6,4.0,Automatic,Front,Left wheel,White,4.0,20266.0,No
LEXUS,GX 470,2009.0,264339.0,Jeep,Yes,Petrol,4.7,8.0,Automatic,4x4,Left wheel,Black,0.0,30734.0,No
BMW,530,2004.0,201000.0,Sedan,Yes,Petrol,3.0,6.0,Tiptronic,Rear,Left wheel,Black,8.0,15053.0,No
MERCEDES-BENZ,ML 350,2005.0,280000.0,Jeep,Yes,Petrol,3.7,6.0,Tiptronic,4x4,Left wheel,Silver,8.0,17249.0,No
TOYOTA,Camry,2014.0,398069.0,Sedan,Yes,Hybrid,2.5,4.0,Automatic,Front,Left wheel,Black,12.0,1098.0,No
TOYOTA,Prius,2006.0,115000.0,Hatchback,Yes,Hybrid,1.5,4.0,Automatic,Front,Left wheel,Silver,12.0,12000.0,No
MERCEDES-BENZ,E 350,2006.0,167563.0,Sedan,Yes,CNG,3.5,6.0,Tiptronic,4x4,Left wheel,Brown,12.0,17249.0,No
TOYOTA,Prius,2010.0,192000.0,Hatchback,Yes,Hybrid,1.8,4.0,Automatic,Front,Left wheel,Black,8.0,17562.0,No
VOLKSWAGEN,CC,2013.0,101000.0,Sedan,Yes,Petrol,3.6,8.0,Automatic,Front,Left wheel,Grey,8.0,27598.0,No
MERCEDES-BENZ,E 350,2011.0,226251.0,Coupe,Yes,Diesel,3.5,6.0,Automatic,Rear,Left wheel,Black,12.0,1568.0,No
LEXUS,GX 460,2010.0,155821.0,Jeep,Yes,Petrol,4.6,8.0,Automatic,4x4,Left wheel,Black,12.0,26030.0,No
HYUNDAI,Santa FE,2011.0,129129.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,28780.0,No
TOYOTA,Prius,2009.0,249600.0,Hatchback,Yes,Hybrid,1.8,4.0,Variator,Front,Left wheel,Black,6.0,14700.0,No
SUBARU,Forester,2014.0,127000.0,Jeep,No,Petrol,2.5,4.0,Variator,4x4,Left wheel,Black,12.0,19444.0,No
LEXUS,GX 470,2013.0,202651.0,Jeep,Yes,Petrol,4.6,8.0,Automatic,4x4,Left wheel,Black,0.0,54568.0,No
TOYOTA,Prius,2015.0,67200.0,Sedan,No,Hybrid,1.8,4.0,Automatic,Front,Left wheel,Black,8.0,21953.0,No
MERCEDES-BENZ,E 350,2009.0,266061.0,Sedan,Yes,Diesel,3.5,6.0,Automatic,4x4,Left wheel,Black,12.0,1411.0,No
RENAULT,Megane,2009.0,240000.0,Hatchback,No,Diesel,1.5,4.0,Manual,Front,Left wheel,Silver,8.0,13642.0,No
TOYOTA,Camry,2013.0,140328.0,Sedan,No,Petrol,2.5,4.0,Automatic,Front,Left wheel,Black,0.0,17562.0,No
TOYOTA,Prius,2008.0,137000.0,Hatchback,Yes,Hybrid,1.5,4.0,Variator,Front,Left wheel,Blue,12.0,13485.0,No
MITSUBISHI,Pajero IO,1998.0,130000.0,Jeep,No,Petrol,1.8,4.0,Automatic,4x4,Left wheel,Blue,0.0,10036.0,No
HYUNDAI,H1,2011.0,38283.0,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Silver,4.0,29636.0,No
HYUNDAI,Sonata,2010.0,176635.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,13953.0,No
MAZDA,CX-5,2015.0,48000.0,Jeep,Yes,Petrol,2.5,4.0,Automatic,Front,Left wheel,Grey,6.0,31361.0,No
OPEL,Astra,2007.0,222222.0,Universal,No,Diesel,1.9,4.0,Manual,Front,Left wheel,Silver,8.0,7840.0,No
KIA,Picanto,2009.0,90000.0,Sedan,Yes,Petrol,1.0,4.0,Automatic,Front,Left wheel,Silver,4.0,4391.0,No
TOYOTA,Camry se,2012.0,65990.0,Sedan,Yes,Petrol,2.5,4.0,Tiptronic,Front,Left wheel,Black,12.0,20385.0,No
LEXUS,CT 200h,2014.0,82000.0,Hatchback,Yes,Hybrid,1.8,4.0,Tiptronic,Front,Left wheel,White,10.0,36692.0,No
TOYOTA,CHR,2018.0,38712.0,Jeep,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,White,12.0,10349.0,No
FORD,Fusion,2016.0,194974.0,Sedan,Yes,Hybrid,2.0,4.0,Automatic,Front,Left wheel,Black,0.0,8781.0,No
FORD,Edge,2007.0,120000.0,Jeep,No,Petrol,3.5,6.0,Automatic,Front,Left wheel,Grey,6.0,5000.0,No
MERCEDES-BENZ,E 350,2010.0,200000.0,Coupe,Yes,Petrol,3.5,6.0,Tiptronic,Rear,Left wheel,White,8.0,34497.0,No
TOYOTA,Prius,2007.0,336000.0,Sedan,No,Hybrid,1.5,4.0,Automatic,Front,Left wheel,White,10.0,13172.0,No
BMW,X5,2017.0,48000.0,Jeep,Yes,Petrol,3.0,6.0,Tiptronic,4x4,Left wheel,Golden,12.0,61154.0,Yes
FORD,Fusion,2013.0,71000.0,Sedan,No,Petrol,2.5,4.0,Automatic,Front,Left wheel,White,12.0,16308.0,No
HYUNDAI,Santa FE,2013.0,144950.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Grey,4.0,37232.0,No
MERCEDES-BENZ,ML 350,2013.0,114491.0,Jeep,Yes,Diesel,3.0,6.0,Automatic,4x4,Left wheel,White,12.0,23207.0,No
HYUNDAI,Sonata,2011.0,129085.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,17158.0,No
HYUNDAI,Sonata,2013.0,48595.0,Sedan,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,9408.0,No
HYUNDAI,Santa FE,2014.0,159124.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,White,4.0,37574.0,No
CHEVROLET,Cruze,2010.0,47829.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Black,4.0,6209.0,No
HYUNDAI,Sonata,2014.0,353049.0,Sedan,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,10036.0,No
CHEVROLET,Cruze,2010.0,58221.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Silver,4.0,5488.0,No
HYUNDAI,Sonata,2016.0,282099.0,Sedan,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,White,4.0,19914.0,No
HONDA,Cr-v,2012.0,104852.0,Jeep,No,Petrol,2.4,4.0,Tiptronic,4x4,Left wheel,Silver,8.0,24775.0,No
MERCEDES-BENZ,C 240,2000.0,27000.0,Sedan,No,Petrol,2.6,6.0,Tiptronic,Rear,Left wheel,Blue,4.0,9095.0,No
MERCEDES-BENZ,E 350,2014.0,146395.0,Sedan,Yes,Petrol,3.5,6.0,Automatic,Rear,Left wheel,Grey,12.0,1882.0,No
BMW,520,1999.0,0.0,Sedan,No,Petrol,2.5,6.0,Tiptronic,Rear,Right-hand drive,Silver,4.0,5645.0,No
PORSCHE,Cayenne,2009.0,145000.0,Jeep,Yes,Petrol,4.8,6.0,Tiptronic,4x4,Left wheel,Black,10.0,33870.0,No
MERCEDES-BENZ,E 300,2017.0,50930.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Rear,Left wheel,Black,12.0,22580.0,No
HYUNDAI,Tucson,2016.0,114435.0,Jeep,Yes,Diesel,1.7,4.0,Automatic,Front,Left wheel,White,4.0,35344.0,No
TOYOTA,Camry,2014.0,179381.0,Sedan,Yes,Hybrid,2.5,4.0,Automatic,Front,Left wheel,Black,12.0,11133.0,No
CHEVROLET,Malibu,2014.0,143293.0,Sedan,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,18500.0,No
HONDA,Insight,2009.0,244800.0,Sedan,No,Hybrid,1.3,4.0,Tiptronic,Front,Left wheel,Silver,6.0,12231.0,No
TOYOTA,Prius,2013.0,216386.0,Hatchback,No,Hybrid,1.8,6.0,Automatic,Front,Left wheel,White,6.0,21330.0,No
TOYOTA,RAV 4,2006.0,304000.0,Jeep,No,Petrol,2.4,4.0,Automatic,4x4,Left wheel,Green,0.0,16308.0,No
LEXUS,GX 460,2012.0,229334.0,Jeep,Yes,Petrol,4.6,8.0,Automatic,4x4,Left wheel,Black,0.0,52059.0,No
HYUNDAI,Elantra,2016.0,70220.0,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,Left wheel,Silver,4.0,34877.0,No
CHEVROLET,Cruze,2012.0,355272.0,Sedan,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,10506.0,No
TOYOTA,Prius,2012.0,95992.0,Sedan,No,Hybrid,1.8,4.0,Variator,Front,Left wheel,White,0.0,20385.0,No
TOYOTA,RAV 4,2017.0,16500.0,Jeep,No,Petrol,2.5,4.0,Automatic,4x4,Left wheel,Grey,12.0,47042.0,No
KIA,RIO,2018.0,65451.0,Jeep,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Black,12.0,1646.0,No
CHEVROLET,Volt,2014.0,112123.0,Hatchback,Yes,Hybrid,1.4,4.0,Automatic,Front,Left wheel,Silver,0.0,6586.0,No
MITSUBISHI,Pajero,1994.0,211433.0,Jeep,Yes,Diesel,2.5,4.0,Manual,4x4,Left wheel,White,2.0,9408.0,Yes
HONDA,FIT,2014.0,114000.0,Hatchback,No,Hybrid,1.5,4.0,Automatic,4x4,Right-hand drive,Silver,12.0,10976.0,No
SSANGYONG,REXTON,2013.0,123700.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,32311.0,No
